"mfid","mid","field_name","field_alias","type","is_system","list_view","list_sort","list_order","list_readonly","list_text","link_addr","link_attr","list_align","list_width","list_style","list_format","list_search_op","list_search_label","list_sql","form_sort","form_view","form_view_type","form_readonly","form_required","form_validate_type","form_max_length","form_min_length","form_chk_style","form_live_search","form_data_source","form_style","form_notes","import_data_sql","remark","settings","enabled","last_modify_time","create_time","data_toggle","data_url","data_group","data_width","data_title","data_height","list_search_style","list_search_sort","list_search_dateformat","list_search_extattr","list_search_width","chk_style","lookup_is_back","lookup_list_show","lookup_name","file_size_limit","file_type_exts","file_multi","file_auto","is_lock","file_rename"
"685732317488943104","248","pms_id","对应pms的变电站ID","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","5a+55bqUcG1z55qE5Y+Y55S156uZSUQ=","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317514108928","248","addr","地址","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","5Zyw5Z2A","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317535080448","248","contact","联系人","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","6IGU57O75Lq6","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317560246272","248","phone","联系电话","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","6IGU57O755S16K+d","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317581217792","248","scale","规模","INT","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","6KeE5qih","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317610577920","248","roadmap","全面巡检路线图","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","5YWo6Z2i5beh5qOA6Lev57q/5Zu+","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317631549440","248","dlt","","INT","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317648326656","248","dept_id","班组名称","VARCHAR","true","true","300","0","0","","","","center","","","","","","select dname from k_department where id=?","300","false","selectpicker","","true","","","","false","false","/kconf/department/json","","","","6LSf6LSj54+t57uE55qESUQ=","","0","2018/5/3 11:12:50","2018/5/2 15:11:06","","","","","","","","","","","","","","false","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317669298176","248","county_id","","INT","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317690269696","248","scan_way","配置该变电站的扫描方式,space 按间隔扫描, device按设备扫描","VARCHAR","true","false","300","0","0","","","","left","","","","","","","300","false","file","","false","","","","false","false","","","","","6YWN572u6K+l5Y+Y55S156uZ55qE5omr5o+P5pa55byPLHNwYWNlIOaMiemXtOmalOaJq+aPjywgZGV2aWNl5oyJ6K6+5aSH5omr5o+P","","0","2018/5/28 08:51:28","2018/5/2 15:11:06","","","","","","","","","","","","","","false","false","10240000","*.png;*.gif;*.jpg;","true","false","0","yes"
