"id","pid","dname","short_name","pinyin","type","nature","relevant","jcdwid","sort","enabled","last_modify_time","create_time","classification","legal_person","registered_capital","addr","trade","level","agency","contacter","contact_phone","score","is_zg_dept","plan_type","is_outdept","all_name","seal_icon","dlt"
"586843722324799636","1","遂宁公司","遂宁公司","sngs","dishi","","","586843722324799636","11","0","2018/5/29 11:07:32","2018/5/29 11:07:32","","","","","","","","","","100","","","","遂宁公司","","0"
"586843722324799637","586843722324799636","变电运维班","变电运维班","bdywb","banzu","","","586843722324799636","1","0","2018/5/29 11:07:51","2018/5/29 11:07:51","","","","","","","","","","100","","","","变电运维班","","0"
"586843722324799638","1","凉山公司","凉山公司","lsgs","dishi","","","586843722324799638","12","0","2018/5/29 11:08:18","2018/5/29 11:08:18","","","","","","","","","","100","","","","凉山公司","","0"
"586843722324799639","586843722324799638","变电运维二班","变电运维二班","bdyweb","banzu","","","586843722324799638","1","0","2018/5/29 11:08:35","2018/5/29 11:08:35","","","","","","","","","","100","","","","变电运维二班","","0"
"586843722324799640","586843722324799638","变电运维四班","变电运维四班","bdywsb","banzu","","","586843722324799638","2","0","2018/5/29 11:08:51","2018/5/29 11:08:51","","","","","","","","","","100","","","","变电运维四班","","0"
"586843722324799641","1","泸州公司","泸州公司","lzgs","dishi","","","586843722324799641","13","0","2018/5/29 11:09:11","2018/5/29 11:09:11","","","","","","","","","","100","","","","泸州公司","","0"
"586843722324799642","586843722324799641","变电运维一班","变电运维一班","bdywyb","banzu","","","586843722324799641","1","0","2018/5/29 11:09:24","2018/5/29 11:09:24","","","","","","","","","","100","","","","变电运维一班","","0"
"586843722324799643","586843722324799641","变电运维六班","变电运维六班","bdywlb","banzu","","","586843722324799641","2","0","2018/5/29 11:09:38","2018/5/29 11:09:38","","","","","","","","","","100","","","","变电运维六班","","0"
"586843722324799644","1","甘孜公司","甘孜公司","gzgs","dishi","","","586843722324799644","14","0","2018/5/29 11:10:01","2018/5/29 11:10:01","","","","","","","","","","100","","","","甘孜公司","","0"
"586843722324799645","586843722324799644","康定运维班","康定运维班","kdywb","banzu","","","586843722324799644","1","0","2018/5/29 11:10:12","2018/5/29 11:10:12","","","","","","","","","","100","","","","康定运维班","","0"
"586843722324799646","1","攀枝花公司","攀枝花公司","pzhgs","dishi","","","586843722324799646","15","0","2018/5/29 11:10:35","2018/5/29 11:10:35","","","","","","","","","","100","","","","攀枝花公司","","0"
"586843722324799647","586843722324799646","变电运维二班","变电运维二班","bdyweb","banzu","","","586843722324799646","1","0","2018/5/29 11:10:49","2018/5/29 11:10:49","","","","","","","","","","100","","","","变电运维二班","","0"
"586843722324799648","586843722324799646","变电运维四班","变电运维四班","bdywsb","banzu","","","586843722324799646","2","0","2018/5/29 11:11:10","2018/5/29 11:11:10","","","","","","","","","","100","","","","变电运维四班","","0"
"586843722324799649","1","内江公司","内江公司","njgs","dishi","","","586843722324799649","16","0","2018/5/29 11:11:26","2018/5/29 11:11:26","","","","","","","","","","100","","","","内江公司","","0"
"586843722324799650","586843722324799649","变电运维一班","变电运维一班","bdywyb","banzu","","","586843722324799649","1","0","2018/5/29 11:11:37","2018/5/29 11:11:37","","","","","","","","","","100","","","","变电运维一班","","0"
"586843722324799651","586843722324799649","变电运维二班","变电运维二班","bdyweb","banzu","","","586843722324799649","2","0","2018/5/29 11:11:56","2018/5/29 11:11:56","","","","","","","","","","100","","","","变电运维二班","","0"
"586843722324799652","1","雅安公司","雅安公司","yags","dishi","","","586843722324799652","17","0","2018/5/29 11:12:22","2018/5/29 11:12:22","","","","","","","","","","100","","","","雅安公司","","0"
"586843722324799653","586843722324799652","宝兴变电运维班","宝兴变电运维班","bxbdywb","banzu","","","586843722324799652","1","0","2018/5/29 11:12:36","2018/5/29 11:12:36","","","","","","","","","","100","","","","宝兴变电运维班","","0"
"586843722324799654","586843722324799652","雨城变电运维班","雨城变电运维班","ycbdywb","banzu","","","586843722324799652","2","0","2018/5/29 11:12:53","2018/5/29 11:12:53","","","","","","","","","","100","","","","雨城变电运维班","","0"
"586843722324799655","1","阿坝公司","阿坝公司","abgs","dishi","","","586843722324799655","18","0","2018/5/29 11:13:16","2018/5/29 11:13:16","","","","","","","","","","100","","","","阿坝公司","","0"
"586843722324799656","586843722324799655","变电运维一班","变电运维一班","bdywyb","banzu","","","586843722324799655","1","0","2018/5/29 11:13:28","2018/5/29 11:13:28","","","","","","","","","","100","","","","变电运维一班","","0"
"586843722324799657","586843722324799655","变电运维二班","变电运维二班","bdyweb","banzu","","","586843722324799655","2","0","2018/5/29 11:13:40","2018/5/29 11:13:40","","","","","","","","","","100","","","","变电运维二班","","0"
"586843722324799658","1","天府公司","天府公司","tfgs","dishi","","","586843722324799658","19","0","2018/5/29 11:14:11","2018/5/29 11:14:11","","","","","","","","","","100","","","","天府公司","","0"
"586843722324799659","586843722324799658","变电运维二班","变电运维二班","bdyweb","dishi","","","586843722324799659","20","0","2018/5/29 11:14:27","2018/5/29 11:14:27","","","","","","","","","","100","","","","变电运维二班","","0"
"586843722324799660","586843722324799658","变电运维三班","变电运维三班","bdywsb","banzu","","","586843722324799658","2","0","2018/5/29 11:14:44","2018/5/29 11:14:44","","","","","","","","","","100","","","","变电运维三班","","0"
"586843722324799661","1","绵阳公司","绵阳公司","mygs","dishi","","","586843722324799661","21","0","2018/5/29 11:15:01","2018/5/29 11:15:01","","","","","","","","","","100","","","","绵阳公司","","0"
"586843722324799662","586843722324799661","变电运维二班","变电运维二班","bdyweb","banzu","","","586843722324799661","1","0","2018/5/29 11:15:18","2018/5/29 11:15:18","","","","","","","","","","100","","","","变电运维二班","","0"
"586843722324799663","586843722324799661","变电运维五班","变电运维五班","bdywwb","banzu","","","586843722324799661","2","0","2018/5/29 11:15:36","2018/5/29 11:15:36","","","","","","","","","","100","","","","变电运维五班","","0"
